gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3089268465	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_5530	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	32.185	-80.75	0.11	1.0E-6					1997-10-19T09:27	19	10	1997	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_5530	304_5530		1997-10-19T09:27:00	CC_BY_NC_4_0					2025-01-31T23:57:36.057Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268464	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_4208	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.7167	-81.1917	0.11	1.0E-6					2003-04-12T09:28	12	4	2003	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_4208	304_4208		2003-04-12T09:28:00	CC_BY_NC_4_0					2025-01-31T23:57:36.057Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268463	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1172	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	32.0117	-81.05	0.11	1.0E-6					2001-07-22T11:55	22	7	2001	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1172	304_1172		2001-07-22T11:55:00	CC_BY_NC_4_0					2025-01-31T23:57:36.056Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268462	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_5539	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	32.21	-80.7867	0.11	1.0E-6					1997-10-19T11:25	19	10	1997	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_5539	304_5539		1997-10-19T11:25:00	CC_BY_NC_4_0					2025-01-31T23:57:36.057Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268461	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1171	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.98	-81.04	0.11	1.0E-6					2001-07-22T11:04	22	7	2001	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1171	304_1171		2001-07-22T11:04:00	CC_BY_NC_4_0					2025-01-31T23:57:36.056Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268460	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1173	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.9233	-81.0783	0.11	1.0E-6					2001-10-20T09:16	20	10	2001	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1173	304_1173		2001-10-20T09:16:00	CC_BY_NC_4_0					2025-01-31T23:57:36.056Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268459	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_5532	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	32.1583	-80.81	0.11	1.0E-6					1997-10-19T10:23	19	10	1997	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_5532	304_5532		1997-10-19T10:23:00	CC_BY_NC_4_0					2025-01-31T23:57:36.056Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268458	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1170	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.9467	-81.0683	0.11	1.0E-6					2001-07-22T10:23	22	7	2001	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1170	304_1170		2001-07-22T10:23:00	CC_BY_NC_4_0					2025-01-31T23:57:36.056Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268457	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1176	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	32.0117	-81.0133	0.11	1.0E-6					2001-10-20T11:33	20	10	2001	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1176	304_1176		2001-10-20T11:33:00	CC_BY_NC_4_0					2025-01-31T23:57:36.056Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268456	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1174	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.945	-81.0933	0.11	1.0E-6					2001-10-20T10:01	20	10	2001	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1174	304_1174		2001-10-20T10:01:00	CC_BY_NC_4_0					2025-01-31T23:57:36.056Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268455	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_4201	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.7033	-81.1467	0.11	1.0E-6					2002-10-19T10:28	19	10	2002	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_4201	304_4201		2002-10-19T10:28:00	CC_BY_NC_4_0					2025-01-31T23:57:36.058Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268454	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_1175	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	31.93	-81.07	0.11	1.0E-6					2001-10-20T10:25	20	10	2001	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_1175	304_1175		2001-10-20T10:25:00	CC_BY_NC_4_0					2025-01-31T23:57:36.056Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3089268453	a3e4e91c-0848-4e20-99f2-a0f72abb646c	304_571	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	Tursiops truncatus		SPECIES	Tursiops truncatus (Montagu, 1821)	Tursiops truncatus	(Montagu, 1821)	US			PRESENT		67b2263f-6990-4d9d-b32b-20aa72ef4fbc	32.0083	-81.0017	0.11	1.0E-6					1998-04-19T11:35	19	4	1998	2440447	2440447	HUMAN_OBSERVATION	The Dolphin Project, Inc.	304	304_571	304_571		1998-04-19T11:35:00	CC_BY_NC_4_0					2025-01-31T23:57:36.054Z		GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
